"link_id","status","tld_name","first_archived_date","closest_archived_date","fay","cay"
2,"200","pl","1997-06-24","1997-06-24","1997","1997"
3,"200","pl","1996-12-22","1996-12-22","1996","1996"
3,"200","pl","1996-12-22","1996-12-22","1996","1996"
4,"404","pl","1999-04-29","1999-04-29","1999","1999"
6,"403","pl","1997-07-20","1997-07-20","1997","1997"
6,"403","pl","1997-07-20","1997-07-20","1997","1997"
7,"CurlEr","pl","1997-02-25","1997-02-25","1997","1997"
8,"CurlEr","com","1998-12-02","1998-12-02","1998","1998"
9,"CurlEr","pl","1998-12-05","1998-12-05","1998","1998"
10,"404","com","1999-01-17","1999-01-17","1999","1999"
12,"CurlEr","se","1999-04-29","1999-04-29","1999","1999"
13,"404","uk","1997-04-18","1997-04-18","1997","1997"
13,"404","uk","1997-04-18","1997-04-18","1997","1997"
14,"CurlEr","pl","1998-12-05","1998-12-05","1998","1998"
15,"CurlEr","pl","2009-05-17","2009-05-17","2009","2009"
18,"200","net","2002-03-06","2002-03-06","2002","2002"
21,"404","pl","1997-05-08","1997-05-08","1997","1997"
21,"404","pl","1997-05-08","1997-05-08","1997","1997"
22,"200","pl","1997-01-26","1997-01-26","1997","1997"
23,"200","pl","1997-02-17","1997-02-17","1997","1997"
24,"404","pl","1997-06-24","1997-06-24","1997","1997"
25,"404","pl","1999-04-20","1999-04-20","1999","1999"
26,"200","com","1997-02-08","1997-02-08","1997","1997"
26,"200","com","1997-02-08","1997-02-08","1997","1997"
27,"404","com","1997-06-28","1997-06-28","1997","1997"
27,"404","com","1997-06-28","1997-06-28","1997","1997"
28,"200","com","1997-03-10","1997-03-10","1997","1997"
29,"404","com","1998-12-03","1998-12-03","1998","1998"
29,"404","com","1998-12-03","1998-12-03","1998","1998"
30,"404","net","2005-11-23","2005-11-23","2005","2005"
30,"404","net","2005-11-23","2005-11-23","2005","2005"
31,"404","net","1996-12-14","1996-12-14","1996","1996"
32,"403","uk","1996-12-22","1996-12-22","1996","1996"
34,"404","pl","1999-04-24","1999-04-24","1999","1999"
37,"404","pl","1999-04-24","1999-04-24","1999","1999"
38,"404","edu","1996-12-24","1996-12-24","1996","1996"
39,"200","com","1997-02-08","1997-02-08","1997","1997"
39,"200","com","1997-02-08","1997-02-08","1997","1997"
40,"CurlEr","pl","1996-10-13","1996-10-13","1996","1996"
41,"404","pl","1997-06-08","1997-06-08","1997","1997"
42,"CurlEr","pl","1997-01-14","1997-01-14","1997","1997"
43,"200","com","2000-08-18","2000-08-18","2000","2000"
44,"404","pl","1999-02-09","1999-02-09","1999","1999"
44,"404","pl","1999-02-09","1999-02-09","1999","1999"
45,"404","pl","1997-03-05","1997-03-05","1997","1997"
46,"CurlEr","se","1999-04-21","1999-04-21","1999","1999"
47,"403","net","1996-12-30","1996-12-30","1996","1996"
48,"404","edu","1999-04-23","1999-04-23","1999","1999"
49,"404","edu","2001-06-02","2001-06-02","2001","2001"
50,"404","edu","2001-06-03","2001-06-03","2001","2001"
51,"CurlEr","pl","1999-04-27","1999-04-27","1999","1999"
54,"200","pl","1999-04-22","1999-04-22","1999","1999"
55,"404","pl","1998-12-06","1998-12-06","1998","1998"
56,"404","com","1999-01-17","1999-01-17","1999","1999"
57,"CurlEr","com","1996-12-29","1996-12-29","1996","1996"
58,"CurlEr","pl","1996-11-30","1996-11-30","1996","1996"
59,"404","pl","2000-04-22","2000-04-22","2000","2000"
60,"404","pl","1997-02-25","1997-02-25","1997","1997"
60,"404","pl","1997-02-25","1997-02-25","1997","1997"
61,"200","pl","1999-04-30","1999-04-30","1999","1999"
62,"200","pl","1997-10-11","1997-10-11","1997","1997"
62,"200","pl","1997-10-11","1997-10-11","1997","1997"
63,"404","pl","1997-08-12","1997-08-12","1997","1997"
64,"200","pl","2013-06-28","2013-06-28","2013","2013"
65,"200","hu","1998-12-05","1998-12-05","1998","1998"
66,"CurlEr","ca","1999-04-21","1999-04-21","1999","1999"
67,"404","com","1997-03-10","1997-03-10","1997","1997"
68,"CurlEr","au","1999-01-17","1999-01-17","1999","1999"
