link_id,status,available,response
1,"Error in curl::curl_fetch_memory(url, handle = handle): Could not resolve host: www.cecis.udel.edu
",FALSE,CurlEr
2,200,TRUE,200
3,200,TRUE,200
4,404,FALSE,404
5,404,FALSE,404
6,403,FALSE,403
7,"Error in curl::curl_fetch_memory(url, handle = handle): Could not resolve host: ajax.umcs.lublin.pl
",FALSE,CurlEr
8,"Error in curl::curl_fetch_memory(url, handle = handle): Could not resolve host: ourworld.compuserve.com
",FALSE,CurlEr
9,"Error in curl::curl_fetch_memory(url, handle = handle): Could not resolve host: www.silesia.pik-net.pl
",FALSE,CurlEr
10,404,FALSE,404
11,"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: [193.133.97.7] Connection timed out after 10001 milliseconds
",FALSE,CurlEr
12,"Error in curl::curl_fetch_memory(url, handle = handle): Could not resolve host: www.rby.hk-r.se
",FALSE,CurlEr
13,404,FALSE,404
14,"Error in curl::curl_fetch_memory(url, handle = handle): Could not resolve host: www.silesia.pik-net.pl
",FALSE,CurlEr
15,"Error in curl::curl_fetch_memory(url, handle = handle): Could not resolve host: www.dij.krakow.pl
",FALSE,CurlEr
16,404,FALSE,404
17,"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: [195.136.0.2] Connection timed out after 10001 milliseconds
",FALSE,CurlEr
18,200,TRUE,200
19,"Error in curl::curl_fetch_memory(url, handle = handle): Could not resolve host: www.urm.gov.pl
",FALSE,CurlEr
20,404,FALSE,404
21,404,FALSE,404
22,200,TRUE,200
23,200,TRUE,200
24,404,FALSE,404
25,404,FALSE,404
26,200,TRUE,200
27,404,FALSE,404
28,200,TRUE,200
29,404,FALSE,404
30,404,FALSE,404
31,404,FALSE,404
32,403,FALSE,403
33,"Error in curl::curl_fetch_memory(url, handle = handle): Failed to connect to info.fuw.edu.pl port 80: Brak trasy do hosta
",FALSE,CurlEr
34,404,FALSE,404
35,"Error in curl::curl_fetch_memory(url, handle = handle): Could not resolve host: bull.mimuw.edu.pl
",FALSE,CurlEr
36,"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: [www.bci.krakow.pl] Connection timed out after 10001 milliseconds
",FALSE,CurlEr
37,404,FALSE,404
38,404,FALSE,404
39,200,TRUE,200
40,"Error in curl::curl_fetch_memory(url, handle = handle): Failed to connect to info.fuw.edu.pl port 80: Brak trasy do hosta
",FALSE,CurlEr
41,404,FALSE,404
42,"Error in curl::curl_fetch_memory(url, handle = handle): Could not resolve host: www.urm.gov.pl
",FALSE,CurlEr
43,200,TRUE,200
44,404,FALSE,404
45,404,FALSE,404
46,"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: [www.wineasy.se] Connection timed out after 10001 milliseconds
",FALSE,CurlEr
47,403,FALSE,403
48,404,FALSE,404
49,404,FALSE,404
50,404,FALSE,404
51,"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: [www.pol.pl] Connection timed out after 10001 milliseconds
",FALSE,CurlEr
52,"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: [www.kki.krakow.pl] Connection timed out after 10000 milliseconds
",FALSE,CurlEr
53,"Error in curl::curl_fetch_memory(url, handle = handle): Could not resolve host: www.beskidy.pol.pl
",FALSE,CurlEr
54,200,TRUE,200
55,404,FALSE,404
56,404,FALSE,404
57,"Error in curl::curl_fetch_memory(url, handle = handle): Could not resolve host: www.gorp.com
",FALSE,CurlEr
58,"Error in curl::curl_fetch_memory(url, handle = handle): Could not resolve host: ciesin.ci.uw.edu.pl
",FALSE,CurlEr
59,404,FALSE,404
60,404,FALSE,404
61,200,TRUE,200
62,200,TRUE,200
63,404,FALSE,404
64,200,TRUE,200
65,200,TRUE,200
66,"Error in curl::curl_fetch_memory(url, handle = handle): Could not resolve host: www.solutions.mb.ca
",FALSE,CurlEr
67,404,FALSE,404
68,"Error in curl::curl_fetch_memory(url, handle = handle): Could not resolve host: www.infobahn.com.au
",FALSE,CurlEr
69,404,FALSE,404
70,404,FALSE,404
71,404,FALSE,404
72,404,FALSE,404
73,404,FALSE,404
74,404,FALSE,404
75,200,TRUE,200
76,"Error in curl::curl_fetch_memory(url, handle = handle): Could not resolve host: www.cyberdudle.net
",FALSE,CurlEr
77,200,TRUE,200
78,404,FALSE,404
79,"Error in curl::curl_fetch_memory(url, handle = handle): Could not resolve host: pacioli.ace.unsw.edu.au
",FALSE,CurlEr
80,404,FALSE,404
81,"Error in curl::curl_fetch_memory(url, handle = handle): Could not resolve host: manta.univ.gda.pl
",FALSE,CurlEr
82,"Error in curl::curl_fetch_memory(url, handle = handle): error:141A318A:SSL routines:tls_process_ske_dhe:dh key too small
",FALSE,CurlEr
83,404,FALSE,404
84,404,FALSE,404
85,404,FALSE,404
86,200,TRUE,200
87,"Error in curl::curl_fetch_memory(url, handle = handle): Failed to connect to www.is.in-berlin.de port 80: Połączenie odrzucone
",FALSE,CurlEr
88,404,FALSE,404
89,404,FALSE,404
90,200,TRUE,200
91,404,FALSE,404
92,404,FALSE,404
93,200,TRUE,200
94,404,FALSE,404
95,404,FALSE,404
96,200,TRUE,200
97,404,FALSE,404
